OTEXE;SEXEP;TRA05;CHAFF;UTATO;STREV
15;1;7;155810;1,28;121727
15;1;6;72755;1;72755
46;1;7;113872;1,07;106423
48;1;10;311698;3;103899
48;1;8;80631;1;80631
37;1;9;603320;7,78;77548
38;1;9;297151;4,54;65452
15;1;7;133054;1,5;88703
15;1;8;112667;1;112667
48;1;9;113357;1;113357
83;1;7;109450;1;109450
46;1;8;42622;1;42622
15;1;10;23979;1;23979
39;2;9;205570;4,38;46934
50;2;5;538979;1,08;499055
15;1;9;202279;1;202279
39;1;7;557802;13,51;41288
15;1;7;303252;2;151626
15;1;9;86370;1;86370
39;1;10;850142;10,25;82941
46;2;5;152618;3,27;46672
48;2;8;180535;2,52;71641
48;1;8;86297;1;86297
48;1;7;83733;1;83733
37;1;6;389050;3,23;120449
15;1;9;50351;1;50351
15;2;8;135353;1,45;93347
46;1;5;67422;1;67422
48;1;6;34619;1;34619
48;2;9;53128;1;53128
50;1;8;248558;1;248558
48;2;7;219156;2;109578
48;2;9;61348;1;61348
48;1;4;15587;2,13;7318
15;1;5;33180;1;33180
48;1;7;40800;1;40800
48;1;7;56728;1;56728
48;1;12;15475;1;15475
61;1;6;93422;1,04;89829
61;2;10;51187;1;51187
50;1;7;309356;1;309356
84;2;9;190602;2;95301
15;1;4;53013;1,04;50974
46;1;9;51425;1;51425
29;1;6;164435;2,81;58518
84;1;7;73207;1;73207
83;1;9;396199;5;79240
45;1;7;182495;2;91248
50;1;7;1375883;3,8;362074
74;1;6;849912;4;212478
48;1;5;187472;2;93736
48;1;6;153693;3,21;47879
48;1;6;70357;1;70357
48;1;5;120430;1;120430
46;1;6;102642;1;102642
16;1;3;178500;1;178500
15;1;5;38439;1;38439
48;2;5;23079;1;23079
50;1;10;342814;1,09;314508
46;1;7;212168;3,14;67569
39;1;8;290542;5,11;56858
15;1;9;268742;1;268742
15;1;11;203323;3;67774
15;1;7;134973;1;134973
16;1;9;86992;1;86992
37;1;10;144854;1,82;79590
46;1;7;133667;2,39;55928
15;1;9;96698;1;96698
83;1;8;75674;1;75674
47;1;6;465912;2,21;210820
39;1;6;29424;1;29424
45;1;6;214912;2,02;106392
83;1;5;116399;2;58200
48;1;5;128352;1,94;66161
46;1;8;96368;3;32123
48;1;8;248710;4;62178
48;1;8;73099;1;73099
15;1;7;177038;1;177038
50;1;9;236284;3;78761
83;1;6;57286;1;57286
15;1;6;70812;2;35406
46;1;7;151474;1;151474
48;1;9;233145;3;77715
45;1;10;134163;1;134163
29;2;5;935290;12;77941
15;1;10;115991;1;115991
83;1;10;81781;1;81781
15;2;12;50403;1;50403
37;1;8;79755;1,52;52470
16;2;8;660216;7,79;84752
39;1;7;359770;8,65;41592
39;1;6;284295;5,89;48267
83;1;6;107825;1,71;63056
15;1;8;170595;1,06;160939
15;1;8;171252;1;171252
48;1;4;37253;1;37253
48;1;8;98723;1;98723
45;1;7;361778;1,44;251235
48;1;4;80140;1;80140
15;1;7;114898;1;114898
15;1;9;222468;1;222468
50;2;9;191332;1;191332
50;1;7;271573;1;271573
50;1;9;503863;1;503863
50;1;5;289310;1;289310
50;1;5;311594;1,1;283267
73;1;6;166782;2;83391
37;1;9;356474;3;118825
48;1;7;151179;2;75590
50;1;8;226362;1;226362
48;1;7;96183;1,33;72318
46;1;7;69116;1;69116
46;1;8;69483;3;23161
